COD_INMUEBLE,NOM_SUCURSAL,NOM_BARRIO,NOM_CIUDAD,ESTRATO,TIPO_INMUEBLE,AREA,VLR_CANON,VLR_ADMINISTRACION,FECHA_CONSIGNACION,FECHA_RECONSIGNACION,FECHA_CONTRATO,COD_ESTADO_CONTRATO
881,BUCARAMANGA,NUEVO SOTOMAYOR,BUCARAMANGA,CUATRO,CASA,39,1144990,315000,15062013,,19072017,INACTIVO
882,BUCARAMANGA,NUEVO SOTOMAYOR,BUCARAMANGA,CUATRO,LOCAL,11,1353900,315000,15062013,,21092013,INACTIVO
883,BUCARAMANGA,CIUDADELA REAL DE MINAS,BUCARAMANGA,CUATRO,LOCAL,25,850000,239000,09082013,,29012020,VIGENTE
884,BUCARAMANGA,CIUDADELA REAL DE MINAS,BUCARAMANGA,CUATRO,APARTAMENTO,26,900000,239000,09082013,,13022019,INACTIVO
885,BUCARAMANGA,CIUDADELA REAL DE MINAS,BUCARAMANGA,CUATRO,APARTAMENTO,26,998980,239000,09082013,,23122015,INACTIVO
886,BUCARAMANGA,CIUDADELA REAL DE MINAS,BUCARAMANGA,CUATRO,APARTAMENTO,91,845370,239000,09082013,,04092013,INACTIVO
887,BUCARAMANGA,LOS PINOS,BUCARAMANGA,CINCO,LOCAL,12,3710180,0,09082013,,26092013,VIGENTE
888,BUCARAMANGA,FONTANA,BUCARAMANGA,CUATRO,LOCAL,27,936450,30000,28022013,,13072013,INACTIVO
889,BUCARAMANGA,FONTANA,BUCARAMANGA,CUATRO,APARTAMENTO,81,1059080,30000,28022013,,26022017,VIGENTE
890,BUCARAMANGA,CENTRO,BUCARAMANGA,SEIS,APARTAMENTO,29,476720,237650,28022013,,18122013,INACTIVO
891,BUCARAMANGA,CENTRO,BUCARAMANGA,SEIS,APARTAMENTO,33,318310,140800,28022013,,17052014,INACTIVO
892,BUCARAMANGA,UNIVERSIDAD,BUCARAMANGA,CUATRO,APARTAMENTO,36,570900,0,20042013,,29052019,INACTIVO
893,BUCARAMANGA,UNIVERSIDAD,BUCARAMANGA,CUATRO,APARTAMENTO,97,500000,0,20042013,,07022018,INACTIVO
894,BUCARAMANGA,UNIVERSIDAD,BUCARAMANGA,CUATRO,LOCAL,11,550000,0,20042013,,03122015,INACTIVO
895,BUCARAMANGA,UNIVERSIDAD,BUCARAMANGA,CUATRO,LOCAL,19,525000,0,20042013,,05012017,INACTIVO
896,BUCARAMANGA,UNIVERSIDAD,BUCARAMANGA,CUATRO,CASA,81,634030,0,20042013,,11052013,INACTIVO
897,BUCARAMANGA,PROVENZA,BUCARAMANGA,CUATRO,CASA,86,1565750,0,20042013,,18062014,VIGENTE
898,BUCARAMANGA,PROVENZA,BUCARAMANGA,CUATRO,LOCAL,23,1121340,0,20042013,,18052013,INACTIVO
899,BUCARAMANGA,ANTONIA SANTOS,BUCARAMANGA,CUATRO,APARTAMENTO,51,975473,251700,19062013,,22022017,VIGENTE
900,BUCARAMANGA,ANTONIA SANTOS,BUCARAMANGA,CUATRO,LOCAL,22,812340,251700,19062013,,16072013,INACTIVO
901,BUCARAMANGA,EL PRADO,BUCARAMANGA,CUATRO,LOCAL,30,1000000,291000,19062013,,23112019,VIGENTE
902,BUCARAMANGA,EL PRADO,BUCARAMANGA,CUATRO,CASA,71,980210,291000,19062013,,29092018,INACTIVO
903,BUCARAMANGA,EL PRADO,BUCARAMANGA,CUATRO,APARTAMENTO,98,1115670,291000,19062013,,01072013,INACTIVO
904,BUCARAMANGA,LA AURORA,BUCARAMANGA,CUATRO,LOCAL,27,944580,388000,13122012,,11032014,VIGENTE
905,BUCARAMANGA,LA AURORA,BUCARAMANGA,CUATRO,CASA,84,1223280,388000,13122012,,26012013,INACTIVO
906,BUCARAMANGA,COAVICONSA,BUCARAMANGA,CUATRO,LOCAL,27,738990,128000,14122012,,01022013,VIGENTE
907,BUCARAMANGA,LOS HEROES,BUCARAMANGA,TRES,CASA,79,968430,0,26042013,,24052013,INACTIVO
908,BUCARAMANGA,LOS HEROES,BUCARAMANGA,TRES,APARTAMENTO,55,1106780,0,26042013,,21062014,INACTIVO
909,BUCARAMANGA,UNIVERSIDAD,BUCARAMANGA,CUATRO,APARTAMENTO,77,764550,0,26042013,,04052013,INACTIVO
910,BUCARAMANGA,UNIVERSIDAD,BUCARAMANGA,CUATRO,CASA,47,851160,0,26042013,,30052014,VIGENTE
911,BUCARAMANGA,UNIVERSIDAD,BUCARAMANGA,CUATRO,LOCAL,25,778500,0,10022014,,12032015,VIGENTE
912,BUCARAMANGA,CIUDADELA REAL DE MINAS,BUCARAMANGA,CUATRO,LOCAL,28,700000,161000,27042013,,20072019,VIGENTE
913,BUCARAMANGA,CIUDADELA REAL DE MINAS,BUCARAMANGA,CUATRO,CASA,49,1255140,161000,27042013,,25042014,INACTIVO
914,BUCARAMANGA,CIUDADELA REAL DE MINAS,BUCARAMANGA,CUATRO,APARTAMENTO,91,1100000,161000,27042013,,16052013,INACTIVO
915,BUCARAMANGA,LA FLORESTA,BUCARAMANGA,CINCO,APARTAMENTO,77,800000,305000,22062013,,30112018,VIGENTE
916,BUCARAMANGA,LA FLORESTA,BUCARAMANGA,CINCO,LOCAL,10,846820,305000,22062013,,28112015,INACTIVO
917,BUCARAMANGA,LA FLORESTA,BUCARAMANGA,CINCO,CASA,85,815520,305000,22062013,,03082013,INACTIVO
918,BUCARAMANGA,CIUDADELA REAL DE MINAS,BUCARAMANGA,CUATRO,CASA,52,914140,216000,27062013,,28072017,INACTIVO
919,BUCARAMANGA,CIUDADELA REAL DE MINAS,BUCARAMANGA,CUATRO,APARTAMENTO,89,824230,216000,27062013,,25072013,INACTIVO
920,BUCARAMANGA,CIUDADELA REAL DE MINAS,BUCARAMANGA,CUATRO,CASA,88,854160,216000,27062013,,12092015,INACTIVO
921,BUCARAMANGA,UNIVERSIDAD,BUCARAMANGA,SEIS,APARTAMENTO,64,1100000,0,16052018,,06082013,INACTIVO
922,BUCARAMANGA,UNIVERSIDAD,BUCARAMANGA,SEIS,APARTAMENTO,83,1278210,0,16052018,,06082013,INACTIVO
923,BUCARAMANGA,UNIVERSIDAD,BUCARAMANGA,SEIS,CASA,42,1298160,0,16052018,,12052018,VIGENTE
924,BUCARAMANGA,BOLIVAR,BUCARAMANGA,SEIS,CASA,39,2824600,635000,29042013,,05082014,INACTIVO
925,BUCARAMANGA,CIUDADELA REAL DE MINAS,BUCARAMANGA,CUATRO,APARTAMENTO,46,1258720,195000,28122012,,06112015,VIGENTE
926,BUCARAMANGA,CIUDADELA REAL DE MINAS,BUCARAMANGA,CUATRO,LOCAL,19,720440,195000,28122012,,16092000,INACTIVO
927,BUCARAMANGA,CONUCOS,BUCARAMANGA,CUATRO,APARTAMENTO,99,997580,174000,07032013,,20042013,VIGENTE
928,BUCARAMANGA,CABECERA DEL LLANO,BUCARAMANGA,SEIS,CASA,57,1260180,176200,08032013,,15052013,VIGENTE
929,BUCARAMANGA,LA FLORESTA,BUCARAMANGA,CINCO,CASA,86,2786680,0,29042013,,17022018,VIGENTE
